name,family
bn120403857,GRB
bn120227725,GRB
bn230524357,GRB
bn141205018,GRB
bn180630467,GRB
bn170116238,GRB
bn250330255,GRB
bn250926827,GRB
bn091026550,GRB
bn230428381,GRB
bn150312403,GRB
bn251018723,GRB
bn221109533,SGR
bn250628885,SGR
bn220709626,SGR
bn221204313,SGR
bn160727543,SGR
bn220626269,SGR
bn220809210,SGR
bn140918038,SGR
bn221010283,SGR
bn220103097,SGR
bn220111271,SGR
bn211113451,SGR
bn260516601,SFLARE
bn241230704,SFLARE
bn260425397,SFLARE
bn251129239,SFLARE
bn220203246,SFLARE
bn251122105,SFLARE
bn241230898,SFLARE
bn250118660,SFLARE
bn251204969,SFLARE
bn250118909,SFLARE
bn251109307,SFLARE
bn241223214,SFLARE
bn240612910,TGF
bn140912846,TGF
bn140630748,TGF
bn170909434,TGF
bn100911473,TGF
bn190105022,TGF
bn260414904,TGF
bn241014617,TGF
bn180724548,TGF
bn130820401,TGF
bn201025784,TGF
bn140804347,TGF
